Estado;Bacia;Nome_ANP;Nome_Operador;Campo;Operador;Contrato;Periodo;Oleo_bpd;Condensado_bpd;Petroleo_bpd;Gas_Natural_Associado_(Mm³/dia);Gas_Natural_Não Associado_(Mm³/dia);Gas_Natural_Total_(Mm³/dia);Volume_Gas_Royalties_(Mm³/dia);Agua_bpd;Instalacao_Destino;Tipo_Instalacao;Tempo_de_Producao_h_por_mes;Periodo_Carga;Corrente;Grau_API;Fracao_Destilados_Leves_Corte;Fracao_Destilados_Leves_Volume;Fracao_Destilados_Medios_Corte;Fracao_Destilados_Medios_Volume;Fracao_Destilados_Pesados_Corte;Fracao_Destilados_Pesados_Volume;Percentual_em_Volumes_Metano;Percentual_em_Volumes_Etano;Percentual_em_Volumes_Propano;Percentual_em_Volumes_Iso-Butano;Percentual_em_Volumes_Butano;Percentual_em_Volumes_Iso-Pentano;Percentual_em_Volumes_n-Pentano;Percentual_em_Volumes_Hexanos;Percentual_em_Volumes_Heptanos;Percentual_em_Volumes_Octanos;Percentual_em_Volumes_Nonanos;Percentual_em_Volumes_Decanos;Percentual_em_Volumes_Undecanos;Percentual_em_Volumes_Oxigenio;Percentual_em_Volumes_Nitrogenio;Percentual_em_Volumes_Gas Carbonico;Densidade_GLP_Gas;Densidade_GLP_Liquido;PCS_GP_KJ_por_metro_cubico;Data_Atualizacao
Espírito Santo;Espírito Santo;1-VITA-2A-ES;1PG01AES;TUCANO;Vipetro;4,861E+16;2023/01;5,95;0,00;5,95;0,01;0,00;0,01;0,44;19,31;;;0;2016/02;Gaivota;16;< 290ºC;8.1%;290ºC a 380ºC;16.4%;> 380ºC;75.5%;;;;;;;;;;;;;;;;;;;;13/03/2023
Espírito Santo;Espírito Santo;7-CNC-21-ES;7CNC21ES;CANCÃ;Petrobras;4,861E+14;2023/01;69,29;0,00;69,29;0,08;0,00;0,08;2,39;416,26;Ponto de Coleta área do CNC-6 (Cancã);INSTALACAO EMB/DESEMB;626;2021/02;Espírito Santo;19,6;< 290ºC;20.1%;290ºC a 380ºC;14.5%;> 380ºC;65.4%;96,78;1,74;0,1;0,05;0,02;0,01;0,01;0;0,01;0;0,02;0;0;0;0,58;0,68;2,07845;537,4362;37725,8764;13/03/2023
Rio Grande do Norte;Potiguar;7-FP-211-RN;7FP  0211  RN;FAZENDA POCINHO;Petrobras;4,8E+14;2023/01;0,62;0,00;0,62;0,01;0,00;0,01;0,33;66,57;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;13/03/2023
Bahia;Recôncavo;1-ALV-11-BA;1-ALV-198-A1-BA;CABURÉ LESTE;Alvopetro;4,861E+16;2023/01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Ponto de Entrega Prosperidade I;INSTALACAO EMB/DESEMB;0;;;;< ºC;%;;%;> ºC;%;85,5335;8,476;3,2089;0,5456;1,1881;0;0;0,131;0;0;0;0;0;0;0,7859;0,131;2,04026;532,90223;39911,0322;13/03/2023
Bahia;Recôncavo;8-DJ-754-BA;8DJ  0754  BA;DOM JOÃO;3R Candeias  S.A.;4,8E+14;2023/01;4,94;0,00;4,94;0,01;0,00;0,01;0,20;145,00;Estação Dom João;INSTALACAO EMB/DESEMB;694;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;68,53;5,09;10,87;3,9;3,97;1,23;1,05;0,64;0,15;0,04;0,01;0;0;0,03;1,77;2,72;2,08205;537,89382;37529,5793;13/03/2023
Rio Grande do Norte;Potiguar;3-STAR-15-RN;3PBC2RN;SABIÁ BICO-DE-OSSO;Potiguar E&P S.A.;4,861E+16;2023/01;22,42;0,00;22,42;0,85;0,00;0,85;26,25;0,94;;;735;2021/02;Sabiá Bico de Osso;25,43;< 290ºC;18.8%;290ºC a 380ºC;16.9%;> 380ºC;64.3%;98,005;0,06591;0,05081;0,14453;0,09071;0,08591;0,04871;0,0653;0,0439;0,0215;0,0044;0,00051;0;0,01381;1,1757;0,1833;2,32026;566,35582;37205,1663;13/03/2023
Rio Grande do Norte;Potiguar;7-SVM-8-RN;7SVM 0008  RN;SERRA VERMELHA;Petrobras;4,8E+14;2023/01;1,27;0,00;1,27;0,00;0,00;0,00;0,13;49,76;Estação Coletora de Serra Vermelha;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;13/03/2023
Rio Grande do Norte;Potiguar;7-ET-1598D-RN;7ET1598DRN;ESTREITO;Petrobras;4,8E+14;2023/01;0,78;0,00;0,78;0,00;0,00;0,00;0,01;376,78;Estação Coletora Rio Panon A;INSTALACAO EMB/DESEMB;690;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;13/03/2023
Espírito Santo;Espírito Santo;1-VITA-4-ES;1CQ1ES;TUCANO;Vipetro;4,861E+16;2023/01;3,52;0,00;3,52;0,01;0,00;0,01;0,26;0,34;;;0;2016/02;Gaivota;16;< 290ºC;8.1%;290ºC a 380ºC;16.4%;> 380ºC;75.5%;;;;;;;;;;;;;;;;;;;;13/03/2023
Espírito Santo;Espírito Santo;7-CNC-19-ES;7CNC19ES;CANCÃ;Petrobras;4,861E+14;2023/01;41,37;0,00;41,37;0,13;0,00;0,13;3,87;236,41;Ponto de Coleta CNC-35;INSTALACAO EMB/DESEMB;571;2021/02;Espírito Santo;19,6;< 290ºC;20.1%;290ºC a 380ºC;14.5%;> 380ºC;65.4%;96,78;1,74;0,1;0,05;0,02;0,01;0,01;0;0,01;0;0,02;0;0;0;0,58;0,68;2,07845;537,4362;37725,8764;13/03/2023
