Estado;Bacia;Nome_ANP;Nome_Operador;Campo;Operador;Contrato;Periodo;Oleo_bpd;Condensado_bpd;Petroleo_bpd;Gas_Natural_Associado_(Mm³/dia);Gas_Natural_Não Associado_(Mm³/dia);Gas_Natural_Total_(Mm³/dia);Volume_Gas_Royalties_(Mm³/dia);Agua_bpd;Instalacao_Destino;Tipo_Instalacao;Tempo_de_Producao_h_por_mes;Periodo_Carga;Corrente;Grau_API;Fracao_Destilados_Leves_Corte;Fracao_Destilados_Leves_Volume;Fracao_Destilados_Medios_Corte;Fracao_Destilados_Medios_Volume;Fracao_Destilados_Pesados_Corte;Fracao_Destilados_Pesados_Volume;Percentual_em_Volumes_Metano;Percentual_em_Volumes_Etano;Percentual_em_Volumes_Propano;Percentual_em_Volumes_Iso-Butano;Percentual_em_Volumes_Butano;Percentual_em_Volumes_Iso-Pentano;Percentual_em_Volumes_n-Pentano;Percentual_em_Volumes_Hexanos;Percentual_em_Volumes_Heptanos;Percentual_em_Volumes_Octanos;Percentual_em_Volumes_Nonanos;Percentual_em_Volumes_Decanos;Percentual_em_Volumes_Undecanos;Percentual_em_Volumes_Oxigenio;Percentual_em_Volumes_Nitrogenio;Percentual_em_Volumes_Gas Carbonico;Densidade_GLP_Gas;Densidade_GLP_Liquido;PCS_GP_KJ_por_metro_cubico;Data_Atualizacao
Rio Grande do Norte;Potiguar;7-ET-741-RN;7ET  0741  RN;ESTREITO;Petrobras;4,8E+14;2023/02;2,92;0,00;2,92;0,00;0,00;0,00;0,03;354,32;Estação Coletora Estreito A;INSTALACAO EMB/DESEMB;670;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Sergipe;Sergipe;7-ARI-8-SE;7ARI8SE;ARUARI;Carmo;4,8E+14;2023/02;2,57;0,00;2,57;0,00;0,00;0,00;0,06;0,00;Aruari;INSTALACAO EMB/DESEMB;251;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;24,9548;16,7136;17,3274;5,5243;6,8726;3,4916;1,7911;0,4729;0;0;0;0;0;0;21,9662;0,8855;2,08061;537,71566;32030,8809;08/04/2023
Rio Grande do Norte;Potiguar;3-CAM-4-RN;3CAM 0004  RN;CANTO DO AMARO;Petrobras;4,8E+14;2023/02;7,72;0,00;7,72;0,00;0,00;0,00;0,03;425,31;Estação Coletora Canto do Amaro A;INSTALACAO EMB/DESEMB;347;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;61,43;16,8;12,43;2,59;3,66;0,78;0,53;0,39;0,1;0,05;0,02;0;0;0;0,3;0,92;2,03149;531,83423;43282,9305;08/04/2023
Sergipe;Sergipe;7-MG-44DP-SE;7MG44DPSE;MATO GROSSO;Carmo;4,8E+14;2023/02;4,75;0,00;4,75;0,01;0,00;0,01;0,25;70,60;Mato Grosso;INSTALACAO EMB/DESEMB;664;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;87,8156;2,0639;2,5773;1,6029;1,3934;0,9324;0,4191;0,1152;0;0;0;0;0;0;0,4191;2,6611;2,15135;546,19969;37118,1168;08/04/2023
Rio Grande do Norte;Potiguar;7-CAM-565D-RN;7CAM 0565D RN;CANTO DO AMARO;Petrobras;4,8E+14;2023/02;6,06;0,00;6,06;0,00;0,00;0,00;0,03;121,28;Estação Coletora Canto do Amaro A;INSTALACAO EMB/DESEMB;663;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;61,43;16,8;12,43;2,59;3,66;0,78;0,53;0,39;0,1;0,05;0,02;0;0;0;0,3;0,92;2,03149;531,83423;43282,9305;08/04/2023
Sergipe;Sergipe;1-ARI-1-SE;1ARI 0001  SE;ARUARI;Carmo;4,8E+14;2023/02;0,26;0,00;0,26;0,00;0,00;0,00;0,01;0,00;Aruari;INSTALACAO EMB/DESEMB;254;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;24,9548;16,7136;17,3274;5,5243;6,8726;3,4916;1,7911;0,4729;0;0;0;0;0;0;21,9662;0,8855;2,08061;537,71566;32030,8809;08/04/2023
Rio Grande do Norte;Potiguar;7-ARG-760-RN;7ARG760RN;ALTO DO RODRIGUES;Petrobras;4,8E+14;2023/02;1,92;0,00;1,92;0,00;0,00;0,00;0,03;19,88;Estação Coletora B de Alto do Rodrigues;INSTALACAO EMB/DESEMB;670;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;08/04/2023
Rio Grande do Norte;Potiguar;4-ALC-2-RN;4ALC 0002  RN;PERIQUITO;Phoenix Óleo & Gás;4,861E+14;2023/02;1,68;0,00;1,68;0,49;0,00;0,49;13,75;9,39;Estação Coletora de Periquito (POT-T-790);INSTALACAO EMB/DESEMB;744;2015/07;Periquito;34,3;< 270ºC;35.6%;270ºC a 458ºC;33.7%;> 458ºC;30.7%;96,0202;0,6283;0,0956;0,0541;0,0676;0,0612;0,0821;0,4833;0;0;0;0;0;0;2,5076;0;2,18581;549,82609;36933,5602;08/04/2023
Rio Grande do Norte;Potiguar;7-ET-13-RN;7ET  0013  RN;ESTREITO;Petrobras;4,8E+14;2023/02;2,12;0,00;2,12;0,00;0,00;0,00;0,03;406,21;Estação Coletora Estreito A;INSTALACAO EMB/DESEMB;646;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
Rio Grande do Norte;Potiguar;7-GMR-103-RN;7GMR103RN;GUAMARÉ;Petrobras;4,8E+14;2023/02;10,62;0,00;10,62;0,02;0,00;0,02;0,00;153,75;Estação Coletora (do campo) de Guamaré (em Macau);INSTALACAO EMB/DESEMB;669;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;08/04/2023
