Estado;Bacia;Nome_ANP;Nome_Operador;Campo;Operador;Contrato;Periodo;Oleo_bpd;Condensado_bpd;Petroleo_bpd;Gas_Natural_Associado_(Mm³/dia);Gas_Natural_Não Associado_(Mm³/dia);Gas_Natural_Total_(Mm³/dia);Volume_Gas_Royalties_(Mm³/dia);Agua_bpd;Instalacao_Destino;Tipo_Instalacao;Tempo_de_Producao_h_por_mes;Periodo_Carga;Corrente;Grau_API;Fracao_Destilados_Leves_Corte;Fracao_Destilados_Leves_Volume;Fracao_Destilados_Medios_Corte;Fracao_Destilados_Medios_Volume;Fracao_Destilados_Pesados_Corte;Fracao_Destilados_Pesados_Volume;Percentual_em_Volumes_Metano;Percentual_em_Volumes_Etano;Percentual_em_Volumes_Propano;Percentual_em_Volumes_Iso-Butano;Percentual_em_Volumes_Butano;Percentual_em_Volumes_Iso-Pentano;Percentual_em_Volumes_n-Pentano;Percentual_em_Volumes_Hexanos;Percentual_em_Volumes_Heptanos;Percentual_em_Volumes_Octanos;Percentual_em_Volumes_Nonanos;Percentual_em_Volumes_Decanos;Percentual_em_Volumes_Undecanos;Percentual_em_Volumes_Oxigenio;Percentual_em_Volumes_Nitrogenio;Percentual_em_Volumes_Gas Carbonico;Densidade_GLP_Gas;Densidade_GLP_Liquido;PCS_GP_KJ_por_metro_cubico;Data_Atualizacao
Rio de Janeiro;Campos;7-PG-7D-RJS;7PG  0007D RJS;PARGO;Perenco Brasil;480000037129795;2023/02;436,5625;0,0000;436,5625;2,7119;0,0000;2,7119;75,93300;998,0581;PLATAFORMA DE PARGO-1A;UEP;663;2021/10;POLO PARGO;22,86;< 290ºC;20.42%;290ºC a 380ºC;14.74%;> 380ºC;64.84%;68,768;12,684;9,385;1,503;2,708;0,562;0,698;0,431;0,066;0,013;0;0;0;0,257;2,383;0,542;2,01722;530,11336;40657,3157;08/04/2023
Rio de Janeiro;Campos;7-PG-25D-RJS;7PG  0025D RJS;PARGO;Perenco Brasil;480000037129795;2023/02;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;PLATAFORMA DE PARGO-1A;UEP;0;2021/10;POLO PARGO;22,86;< 290ºC;20.42%;290ºC a 380ºC;14.74%;> 380ºC;64.84%;68,768;12,684;9,385;1,503;2,708;0,562;0,698;0,431;0,066;0,013;0;0;0;0,257;2,383;0,542;2,01722;530,11336;40657,3157;08/04/2023
Rio de Janeiro;Campos;7-PG-14D-RJS;7PG  0014D RJS;PARGO;Perenco Brasil;480000037129795;2023/02;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;PLATAFORMA DE PARGO-1A;UEP;0;2021/10;POLO PARGO;22,86;< 290ºC;20.42%;290ºC a 380ºC;14.74%;> 380ºC;64.84%;68,768;12,684;9,385;1,503;2,708;0,562;0,698;0,431;0,066;0,013;0;0;0;0,257;2,383;0,542;2,01722;530,11336;40657,3157;08/04/2023
Rio de Janeiro;Campos;7-PG-10D-RJS;7PG  0010D RJS;PARGO;Perenco Brasil;480000037129795;2023/02;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;PLATAFORMA DE PARGO-1A;UEP;0;2021/10;POLO PARGO;22,86;< 290ºC;20.42%;290ºC a 380ºC;14.74%;> 380ºC;64.84%;68,768;12,684;9,385;1,503;2,708;0,562;0,698;0,431;0,066;0,013;0;0;0;0,257;2,383;0,542;2,01722;530,11336;40657,3157;08/04/2023
Rio de Janeiro;Campos;7-VM-71HP-RJS;7VM  0071HPRJS;VERMELHO;Perenco Brasil;480000037139758;2023/02;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;PLATAFORMA DE VERMELHO-III;UEP;0;2021/10;POLO PARGO;22,86;< 290ºC;20.42%;290ºC a 380ºC;14.74%;> 380ºC;64.84%;76,438;6,609;7,029;1,501;2,371;0,63;0,729;0,418;0,055;0,003;0;0;0;0,095;2,322;1,8;2,04423;533,35002;38122,0594;08/04/2023
Rio de Janeiro;Campos;7-VM-60D-RJS;7VM  0060D RJS;VERMELHO;Perenco Brasil;480000037139758;2023/02;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;PLATAFORMA DE VERMELHO-III;UEP;0;2021/10;POLO PARGO;22,86;< 290ºC;20.42%;290ºC a 380ºC;14.74%;> 380ºC;64.84%;76,438;6,609;7,029;1,501;2,371;0,63;0,729;0,418;0,055;0,003;0;0;0;0,095;2,322;1,8;2,04423;533,35002;38122,0594;08/04/2023
Rio de Janeiro;Campos;7-VM-19D-RJS;7VM  0019D RJS;VERMELHO;Perenco Brasil;480000037139758;2023/02;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;PLATAFORMA DE VERMELHO-III;UEP;0;2021/10;POLO PARGO;22,86;< 290ºC;20.42%;290ºC a 380ºC;14.74%;> 380ºC;64.84%;76,438;6,609;7,029;1,501;2,371;0,63;0,729;0,418;0,055;0,003;0;0;0;0,095;2,322;1,8;2,04423;533,35002;38122,0594;08/04/2023
Rio de Janeiro;Campos;7-VM-14D-RJS;7VM  0014D RJS;VERMELHO;Perenco Brasil;480000037139758;2023/02;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;PLATAFORMA DE VERMELHO-III;UEP;0;2021/10;POLO PARGO;22,86;< 290ºC;20.42%;290ºC a 380ºC;14.74%;> 380ºC;64.84%;76,438;6,609;7,029;1,501;2,371;0,63;0,729;0,418;0,055;0,003;0;0;0;0,095;2,322;1,8;2,04423;533,35002;38122,0594;08/04/2023
Rio de Janeiro;Campos;7-VM-39D-RJS;7VM  0039D RJS;VERMELHO;Perenco Brasil;480000037139758;2023/02;126,2071;0,0000;126,2071;0,4450;0,0000;0,4450;12,45900;2.179,4192;PLATAFORMA DE VERMELHO-III;UEP;311;2021/10;POLO PARGO;22,86;< 290ºC;20.42%;290ºC a 380ºC;14.74%;> 380ºC;64.84%;76,438;6,609;7,029;1,501;2,371;0,63;0,729;0,418;0,055;0,003;0;0;0;0,095;2,322;1,8;2,04423;533,35002;38122,0594;08/04/2023
Rio de Janeiro;Campos;7-VM-78DP-RJS;7VM  0078DPRJS;VERMELHO;Perenco Brasil;480000037139758;2023/02;162,7401;0,0000;162,7401;0,5474;0,0000;0,5474;15,32800;2.691,8140;PLATAFORMA DE VERMELHO-III;UEP;595;2021/10;POLO PARGO;22,86;< 290ºC;20.42%;290ºC a 380ºC;14.74%;> 380ºC;64.84%;76,438;6,609;7,029;1,501;2,371;0,63;0,729;0,418;0,055;0,003;0;0;0;0,095;2,322;1,8;2,04423;533,35002;38122,0594;08/04/2023
